0,"HISTORY	O
OF	O
PRESENT	O
ILLNESS	O
This	O
is	O
an	O
81-year-old	CONDITION/SYMPTOM
female	CONDITION/SYMPTOM
with	O
a	O
history	O
of	O
emphysema	CONDITION/SYMPTOM
not	O
on	O
home	DRUG
O2	DRUG
,	O
who	O
presents	O
with	O
three	AMOUNT
days	AMOUNT
of	O
shortness	CONDITION/SYMPTOM
of	CONDITION/SYMPTOM
breath	CONDITION/SYMPTOM
thought	O
by	O
her	O
primary	O
care	O
doctor	O
to	O
be	O
a	O
COPD	CONDITION/SYMPTOM
flare	CONDITION/SYMPTOM
"	O

1,"	O
Two	TIME
days	TIME
prior	TIME
to	TIME
admission	TIME
,	O
she	O
was	O
started	O
on	O
a	O
prednisone	DRUG
taper	O
and	O
one	TIME
day	TIME
prior	TIME
to	TIME
admission	TIME
she	O
required	O
oxygen	DRUG
at	O
home	O
in	O
order	O
to	O
maintain	O
oxygen	MEASUREMENT
saturation	MEASUREMENT
greater	MEASUREMENT
than	MEASUREMENT
90%	MEASUREMENT
"	O

2,"She	O
has	O
also	O
been	O
on	O
levofloxacin	DRUG
and	O
nebulizers	DRUG
,	O
and	O
was	O
not	O
getting	O
better,	O
and	O
presented	O
to	O
the	O
Hospital1	LOCATION
18	LOCATION
Emergency	LOCATION
Room	LOCATION
"	O

3,"In	O
the	O
Hospital3	O
Emergency	O
Room,	O
her	O
oxygen	MEASUREMENT
saturation	MEASUREMENT
was	MEASUREMENT
100%	MEASUREMENT
on	O
CPAP"	O

4,She	O
was	O
not	O
able	O
to	O
be	O
weaned	O
off	O
of	O
this	O
despite	O
nebulizer	DRUG
treatment	O
and	O
Solu-Medrol	DRUG
125	AMOUNT
mg	AMOUNT
IV	AMOUNT
x2	AMOUNT

5,"Review	O
of	O
systems	O
is	O
negative	O
for	O
the	O
following	O
Fevers	CONDITION/SYMPTOM
,	O
chills	CONDITION/SYMPTOM
,	O
nausea	CONDITION/SYMPTOM
,	O
vomiting	CONDITION/SYMPTOM
,	O
night	CONDITION/SYMPTOM
sweats	CONDITION/SYMPTOM
,	O
change	CONDITION/SYMPTOM
in	CONDITION/SYMPTOM
weight	CONDITION/SYMPTOM
,	O
gastrointestinal	CONDITION/SYMPTOM
complaints	CONDITION/SYMPTOM
,	O
neurologic	CONDITION/SYMPTOM
changes	CONDITION/SYMPTOM
,	O
rashes	CONDITION/SYMPTOM
,	O
palpitations	CONDITION/SYMPTOM
,	O
orthopnea	CONDITION/SYMPTOM
"	O

6,"Is	O
positive	O
for	O
the	O
following	O
Chest	CONDITION/SYMPTOM
pressure	CONDITION/SYMPTOM
occasionally	O
with	O
shortness	CONDITION/SYMPTOM
of	CONDITION/SYMPTOM
breath	CONDITION/SYMPTOM
with	O
exertion,	O
some	O
shortness	CONDITION/SYMPTOM
of	CONDITION/SYMPTOM
breath	CONDITION/SYMPTOM
that	O
is	O
positionally	O
related,	O
but	O
is	O
improved	O
with	O
nebulizer	DRUG
treatment"	O

7,HISTORY	O
OF	O
PRESENT	O
ILLNESS	O
This	O
81	CONDITION/SYMPTOM
year	CONDITION/SYMPTOM
